channel_name,date,cost,ihc,ihc_revenue,cpo,roas
Affiliate & Partnerships,2023-08-29,3677.52,0.0,0.0,0.0,0.0
Affiliate & Partnerships,2023-08-30,574.644,0.0,0.0,0.0,0.0
Affiliate & Partnerships,2023-08-31,1145.538,74.8683,3026.176686,15.300708043324077,2.641707814144969
Affiliate & Partnerships,2023-09-01,8264.1,5637.7852,283551.226623,1.465841586160466,34.31120468326859
Affiliate & Partnerships,2023-09-02,5144.191,1447.4928,60702.159648,3.5538629276774296,11.800137212634601
Affiliate & Partnerships,2023-09-03,6030.024,3199.3572,141980.81220000001,1.884761101386241,23.545646285984933
Affiliate & Partnerships,2023-09-04,12050.24,5665.9698,293790.859266,2.126774484396299,24.380498584758477
Affiliate & Partnerships,2023-09-05,2408.208,3474.486,160548.578748,0.6931120171444064,66.66723918698052
Affiliate & Partnerships,2023-09-06,3617.7709999999997,3773.193,152862.0267,0.9588088920974887,42.25309636790167
Affiliate & Partnerships,2023-09-07,4189.8,4132.0211,229369.35478,1.013983205458462,54.74470255859468
Direct Traffic,2023-08-29,33.839999999999996,16504.0229,660532.175127,0.0020504091762984645,19519.272314627662
Direct Traffic,2023-08-30,294.163,21769.1208,1480783.63482,0.013512856247276647,5033.888132837917
Direct Traffic,2023-08-31,172.067,49095.2843,2315699.688867,0.003504756158423957,13458.127873834028
Direct Traffic,2023-09-01,435.842,458193.1956,29180331.791394,0.0009512188399682992,66951.62878151715
Direct Traffic,2023-09-02,599.382,404243.4546,30608555.226348,0.0014827253061972026,51066.857573881105
Direct Traffic,2023-09-03,177.11200000000002,553349.2248,34010282.7288,0.00032007273537613533,192026.98139482358
Direct Traffic,2023-09-04,1092.438,683210.6325,55152896.532525,0.001598976871894628,50486.06560054209
Direct Traffic,2023-09-05,340.992,276510.969,21616123.975005,0.001233195201019313,63391.88008811057
Direct Traffic,2023-09-06,0.0,220017.8429,11343420.422572,0.0,0.0
Direct Traffic,2023-09-07,125.538,191506.5852,11177669.473662,0.0006555283718776266,89038.13565344358
FB & IG Ads,2023-08-29,51513.995,4709.8398,263150.054082,10.937525943026769,5.108321614000234
FB & IG Ads,2023-08-30,10348.765,683.6599000000001,53311.79900200001,15.137299993754201,5.151513151762554
FB & IG Ads,2023-08-31,51558.105,5621.5224,82511.295516,9.171555555840177,1.6003554730337741
FB & IG Ads,2023-09-01,355252.59,127538.3444,4984448.804174,2.7854571240615855,14.03071770475762
FB & IG Ads,2023-09-02,408214.404,129597.3414,6212873.523567,3.1498671160240326,15.21963326793094
FB & IG Ads,2023-09-03,491257.284,154660.5667,5868536.925877,3.1763577134235343,11.94595401841818
FB & IG Ads,2023-09-04,335973.6,93584.912,2849413.422816,3.590040240674693,8.48106346098622
FB & IG Ads,2023-09-05,181015.318,52497.5523,991045.287779,3.448071577996218,5.474924988276406
FB & IG Ads,2023-09-06,224092.251,81009.8704,3063196.764528,2.7662339156143125,13.669356039125155
FB & IG Ads,2023-09-07,177471.294,52899.9232,1189406.86972,3.3548497476835655,6.701967641707735
Microsoft Ads,2023-08-31,194.87,119.48160000000001,2709.842688,1.6309624243398144,13.905899769076822
Microsoft Ads,2023-09-02,815.542,1335.124,105543.12168,0.6108361470545058,129.41469805356436
Microsoft Ads,2023-09-03,142.845,247.0,29227.51,0.5783198380566802,204.60996184675696
Microsoft Ads,2023-09-04,1235.241,1294.3104,102346.59168,0.954362261170118,82.85556557789128
Microsoft Ads,2023-09-05,420.903,583.9911,21248.247867,0.7207352988769864,50.482528912837395
Microsoft Ads,2023-09-06,174.953,144.07559999999998,18643.38264,1.214313874104984,106.56223465730795
Microsoft Ads,2023-09-07,425.775,789.0,34313.61,0.539638783269962,80.59094592214198
Newsletter & Email,2023-08-29,0.0,808.3656,77114.356074,0.0,0.0
Newsletter & Email,2023-08-30,0.0,752.8052,78423.24884,0.0,0.0
Newsletter & Email,2023-08-31,0.0,84797.912,7727641.982216,0.0,0.0
Newsletter & Email,2023-09-01,0.0,118099.3,6963926.376,0.0,0.0
Newsletter & Email,2023-09-02,0.0,58622.25,4638200.25375,0.0,0.0
Newsletter & Email,2023-09-03,0.0,83486.6755,6030463.073414,0.0,0.0
Newsletter & Email,2023-09-04,0.0,1621404.7562,116044327.265772,0.0,0.0
Newsletter & Email,2023-09-05,0.0,57722.7405,3281452.190469,0.0,0.0
Newsletter & Email,2023-09-06,0.0,31446.415,1675528.981126,0.0,0.0
Newsletter & Email,2023-09-07,0.0,308787.3452,20761796.567344,0.0,0.0
Organic Traffic,2023-08-29,4.628,4081.2261,331010.768634,0.0011339729499426656,71523.5022977528
Organic Traffic,2023-08-30,0.73,2978.4636,224118.360648,0.00024509280556593,307011.4529424658
Organic Traffic,2023-08-31,0.0,13659.015000000001,867153.04187,0.0,0.0
Organic Traffic,2023-09-01,45.414,103654.3957,5511620.053824,0.00043812903151197477,121363.89778094861
Organic Traffic,2023-09-02,168.44400000000002,187512.1556,10981011.361012,0.000898309762697859,65190.872699603424
Organic Traffic,2023-09-03,32.745,198123.07200000001,10600710.263808,0.00016527605628889096,323735.23480861203
Organic Traffic,2023-09-04,288.4,192931.5024,10656631.960536,0.0014948310483897417,36950.87364957004
Organic Traffic,2023-09-05,60.550000000000004,273327.7085,15682398.667012,0.00022152894901250015,258999.15222150288
Organic Traffic,2023-09-06,59.903,183627.3562,14058970.833552,0.0003262204566881413,234695.60512081196
Organic Traffic,2023-09-07,8.512,97847.0368,5986181.548224,8.69929256764166e-05,703263.8097067669
Paid Search Brand,2023-08-29,23240.206000000002,3497.7585,240080.115903,6.644314065708082,10.330378134470925
Paid Search Brand,2023-08-30,21791.7,5047.9114,376515.80171,4.316973550684745,17.277945351211702
Paid Search Brand,2023-08-31,36087.28,10492.8455,793019.304095,3.4392272334515934,21.97503674688145
Paid Search Brand,2023-09-01,105856.69499999999,114469.2892,6213409.076206,0.9247606562407132,58.69642044091779
Paid Search Brand,2023-09-02,79623.28600000001,84593.3928,4786692.290871,0.9412471041118947,60.11673885037851
Paid Search Brand,2023-09-03,158654.48,179470.7586,13308545.726826,0.8840129792597868,83.8838318768307
Paid Search Brand,2023-09-04,146755.224,180733.7871,11229548.00022,0.8119966186444173,76.51889789095345
Paid Search Brand,2023-09-05,52910.36,60000.8892,4237898.0410319995,0.881826264668091,80.09580809943458
Paid Search Brand,2023-09-06,63980.603,63153.927,4981337.60571,1.013089859004334,77.8569968418397
Paid Search Brand,2023-09-07,81565.736,97892.1406,6544735.2669400005,0.8332204761288059,80.23878147731052
Paid Search Non Brand,2023-08-29,8279.376,193.4856,18187.6464,42.790657289224626,2.1967412036849154
Paid Search Non Brand,2023-08-30,1967.281,0.0,0.0,0.0,0.0
Paid Search Non Brand,2023-08-31,6207.246,1616.676,42468.35916,3.839511441995799,6.841739341408412
Paid Search Non Brand,2023-09-01,10070.85,4774.4415,263573.66329500003,2.10932524778029,26.17193814772338
Paid Search Non Brand,2023-09-02,17675.118,8185.9744,432520.839491,2.1591953671391884,24.470605485688978
Paid Search Non Brand,2023-09-03,38098.635,21921.8576,1106098.052775,1.7379291342536594,29.03248509493844
Paid Search Non Brand,2023-09-04,10633.245,3308.85,111242.940875,3.213577224715536,10.461805486001685
Paid Search Non Brand,2023-09-05,6751.564,5598.6449999999995,462733.5141,1.2059282201318355,68.53723286930257
Paid Search Non Brand,2023-09-06,5048.349,1130.9292,78174.67824000001,4.463894822063132,15.485196891102419
Paid Search Non Brand,2023-09-07,1523.433,1750.0,163065.0,0.8705331428571429,107.03785463489369
Performance Max,2023-08-29,153168.288,5577.1815,582580.596246,27.463385941447306,3.8035327276492117
Performance Max,2023-08-30,191540.13,20496.1506,1133845.462722,9.345175771688563,5.919623541667221
Performance Max,2023-08-31,291686.85599999997,43474.6,1579157.842384,6.709362616332295,5.4138807076860544
Performance Max,2023-09-01,1025728.176,559326.0672,23243005.724544,1.8338644239036102,22.66000512453896
Performance Max,2023-09-02,1470430.848,744352.9498,39917975.427726,1.9754484057530635,27.14712866777806
Performance Max,2023-09-03,1651717.74,952290.6394,37801212.628634,1.7344681042341032,22.886000260936836
Performance Max,2023-09-04,1988474.04,965289.72,34195753.289625004,2.0599763975524366,17.19698251108423
Performance Max,2023-09-05,1400794.164,729559.872,25870646.51856,1.9200537444033108,18.46855675403856
Performance Max,2023-09-06,1271640.645,658776.2286,20084419.507317,1.9303074242712588,15.794099996950788
Performance Max,2023-09-07,839056.148,542709.2178,16928745.3927,1.5460510352142394,20.175938681877103
Referral,2023-08-29,0.0,0.0,0.0,0.0,0.0
Referral,2023-08-31,3.688,412.7669,25208.800434000004,0.008934824958105894,6835.358035249458
Referral,2023-09-01,0.0,2058.1975,233243.16113,0.0,0.0
Referral,2023-09-02,0.0,1952.1452,149283.46630600002,0.0,0.0
Referral,2023-09-03,0.0,4102.28,242781.4012,0.0,0.0
Referral,2023-09-04,35.089999999999996,7257.007,627137.02967,0.004835326740073421,17872.243649757766
Referral,2023-09-05,0.0,1795.0086000000001,82169.194338,0.0,0.0
Referral,2023-09-06,0.0,5136.3156,241074.26789699998,0.0,0.0
Referral,2023-09-07,3.036,868.9499,40689.203477,0.0034938723164592116,13402.240934453228
Social Organic,2023-08-29,114.46,0.0,0.0,0.0,0.0
Social Organic,2023-09-01,587.04,463.4025,6543.2433,1.266803696570476,11.146162612428455
Social Organic,2023-09-02,2054.76,1531.4115,86905.80235000001,1.3417425688653901,42.29486769744398
Social Organic,2023-09-03,756.6200000000001,1081.107,57184.74288,0.6998567209351158,75.57921133461974
Social Organic,2023-09-04,2468.067,1939.848,84783.46931,1.272299169831863,34.3521749247488
Social Organic,2023-09-05,539.973,1319.4218,41411.111744,0.4092497183235868,76.6910785242966
Social Organic,2023-09-06,345.96,994.7212000000001,91815.239992,0.3477959452357102,265.3926465256099
Social Organic,2023-09-07,872.1500000000001,1944.5405,185082.160764,0.44851212921510253,212.2136797156452
TikTok Ads,2023-09-01,3290.64,820.6152,7820.407248,4.0099671563480666,2.3765611698636135
TikTok Ads,2023-09-02,1104.616,407.0,7460.3099999999995,2.714044226044226,6.753758772279235
TikTok Ads,2023-09-03,4448.536,1356.0,16642.64,3.2806312684365784,3.7411498974044495
TikTok Ads,2023-09-05,2128.77,764.0,6681.18,2.786348167539267,3.13851660818219
TikTok Ads,2023-09-06,2124.932,704.0,25308.8,3.018369318181818,11.91040466236096
Untracked Conversions,2023-08-29,0.0,0.0,0.0,0.0,0.0
Untracked Conversions,2023-09-01,0.0,891.0,71140.41,0.0,0.0
Untracked Conversions,2023-09-02,0.0,183.0,6437.33,0.0,0.0
Untracked Conversions,2023-09-03,0.0,732.292,41969.625720000004,0.0,0.0
Untracked Conversions,2023-09-04,0.0,1232.027,67147.49345,0.0,0.0
Untracked Conversions,2023-09-05,0.0,112.0845,2537.88293,0.0,0.0
Untracked Conversions,2023-09-06,0.0,366.0,12015.78,0.0,0.0
Untracked Conversions,2023-09-07,0.0,800.0,65452.0,0.0,0.0
